Abstract Ionizing radiation to DNA induces sometimes the DNA damage. In this report, the ionization dynamics of uracil dimer (U)2 and its water complex (U)2–H2O have been investigated by means of direct ab initio molecular dynamics (AIMD) method in order to elucidate the effects of single water molecule on the reaction rate of proton transfer (PT) in DNA model base pair. The (U)2 dimer is widely used as a simplified mimetic model of Watson–Crick base pair. The static ab initio calculation showed that two conformers exist as neutral complex of (U)2–H2O. The direct AIMD calculation of ionization process of (U)2–H2O showed that the rate of PT is affected even by a single water molecule, while it was dependent on the position of H2O around (U)2. The interaction of water molecule with (U)2 affected the potential energy curve for PT. Especially, the activation barrier along the PT coordinate was significantly changed by the interaction with one H2O molecule. The effects of one H2O molecule on the PT process were discussed on the basis of theoretical results.
proton              0.9996241868752792^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Proton                
Ionizing radiation            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ionizing_radiation    

H2O                           0.9976933712073579^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Properties_of_water   

mimetic                       0.8064369493401173^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nanotechnology        

DNA                           0.9999999999911324^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/DNA                   

PT                            0.9999934590066653^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Prothrombin_time      

