Abstract  Background: The potential role of apoptosis in corneal wound healing after excimer laser keratectomy was investigated in a rat model. Methods: Lewis rats underwent laser keratectomy using a 193-nm excimer laser. The central corneas were ablated in three depths: group A, epithelium; group B, superficial stroma; group C, deep stroma. Eyes were collected at 1, 12, 24, and 36 h and 1 week. Cellular markers associated with apoptosis – Fas, Fas ligand (FasL), Bcl-2, and Bax – were examined by immunohistochemistry. Keratocyte depletion and endothelial changes were evaluated histologically. In situ end labeling of double-stranded DNA breaks was used to demonstrate apoptosis in corneal sections. Results: Keratocyte depletion was observed in 6 (50%) of 12 rats (total from groups A, B, and C) at 12 h, 11 (73%) of 15 at 24 h, 3 (20%) of 15 at 36 h, and 2 (15%) of 13 at 1 week after laser surgery. Corneal endothelial edema was observed in the ablation zone. Expression of Fas, FasL, Bcl-2, and Bax in corneal cells showed dynamics similar to that of keratocyte depletion and endothelial changes. There was less expression of apoptotic molecules in newly generated epithelial cells and more in endothelial cells of the stromal ablation groups. Conclusions: Excimer laser keratectomy triggered apoptosis of corneal keratocytes and endothelial cells. More endothelial edema was observed in the stromal ablation than in the epithelial ablation group. The expression of apoptotic molecules coincided with the period of keratocyte depletion and regeneration and of endothelial recovery, suggesting that apoptosis is a dynamic part of corneal wound healing and remodeling after excimer laser keratectomy.
endothelial cells             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Endothelium           

molecules                     0.9997505742662769^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Molecule              

Bcl                           0.9950645357336177^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bachelor_of_Civil_Law 

wound healing                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Wound_healing         

edema                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Edema                 

ablation                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Excimer_laser         

Bax                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Bcl-2-associated_X_protein

endothelial                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Endothelium           

apoptosis                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Apoptosis             

In situ                       0.9999172282550024^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/In_situ_hybridization 

keratectomy                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Photorefractive_keratectomy

keratectomy                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Photorefractive_keratectomy

stroma                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Stroma_of_cornea      

edema                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Edema                 

Excimer laser                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Excimer_laser         

excimer laser                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Excimer_laser         

Fas ligand                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fas_ligand            

ablation                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Excimer_laser         

FasL                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fas_ligand            

ablated                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ablation              

Fas                           0.999999768130037^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Fas_receptor          

Bcl                           0.9950645357336177^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Bachelor_of_Civil_Law 

FasL                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fas_ligand            

Fas                           0.999999768130037^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Fas_receptor          

stroma                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Stroma_of_cornea      

rats                          0.657656805091343^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Rat                   

corneal                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cornea                

epithelial                    0.9999999999806732^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Epithelium            

Bax                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Bcl-2-associated_X_protein

apoptosis                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Apoptosis             

corneal                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cornea                

dynamics                      0.988852580201922^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Fluid_dynamics        

corneal                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cornea                

apoptotic                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Apoptosis             

wound healing                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Wound_healing         

keratectomy                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Photorefractive_keratectomy

endothelial                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Endothelium           

excimer laser                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Excimer_laser         

endothelial                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Endothelium           

endothelial                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Endothelium           

apoptosis                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Apoptosis             

apoptosis                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Apoptosis             

endothelial                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Endothelium           

excimer laser                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Excimer_laser         

rats                          0.657656805091343^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Rat                   

