Abstract Preliminary findings of a high prevalence of Clonorchis sinensis in wild-caught fish in a North Vietnam reservoir (Thac Ba reservoir, Yen Bai Province) prompted a longitudinal epidemiological study of fish infections. Monthly collections of fish from September 2014 to August 2015 were processed for recovery of metacercariae; 1219 fish, representing 22 species, were examined. Seven species were infected with C. sinensis metacercariae. Four species, Toxabramis houdemeri, Hemiculter leucisculus, Cultrichthys erythropterus, and Culter recurvirostris, had high prevalence (31.1 to 76.7 %); metacercarial intensities ranged from 3.9 to 65.7 metacercariae/fish. A seasonal variation of C. sinensis prevalence was observed in T. houdemeri. Variation in intensity of infection occurred in C. erythropterus and H. leucisculus. Intensity and prevalence of C. sinensis in the most highly infected species, T. houdemeri, varied by fish size; prevalence was higher in fish weighing more than 3 g, and intensity was higher in fish weighing more than 5 g. The distribution of metacercariae in the body region of T. houdemeri was significantly higher in the caudal fin (14.7 metacercariae/g), compared to the body and head regions (0.7 and 1.4 metacercariae/g, respectively). Further epidemiological investigations on C. sinensis in this reservoir region should include assessing the relative risk of the different fish species for humans based on the latter’s food preferences, and the prevalence of C. sinensis in the community. The snail intermediate host(s) in the reservoir should also be identified along with the ecological factors influencing its exposure to C. sinensis eggs and its subsequent transmission of cercariae to fish. Also needed are investigations on the relative importance of wild and domestic reservoir hosts as sources of egg contamination of the reservoir.
caudal fin          0.9998550839419318^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fish_fin              
epidemiological               0.9999999986312105^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Epidemiology          

cercariae                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Trematode_lifecycle_stages

eggs                          0.9999963960484733^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Egg_(biology)         

species                       0.9999974530488237^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Species               

fish                          0.9999999999606644^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fish                  

relative risk                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Relative_risk         

reservoir                     0.9999999999047304^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Natural_reservoir     

epidemiological               0.9999999986312105^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Epidemiology          

metacercariae                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Trematode_lifecycle_stages

metacercariae                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Trematode_lifecycle_stages

reservoir                     0.9999999999047304^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Natural_reservoir     

fish                          0.9999999999606644^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fish                  

