Abstract Composites containing cobalt oxide (Co3O4) nanocubes integrated with multiwall carbon nanotubes (MWCNT) were synthesized by a hydrothermal route. The fractions of MWCNTs in the composite were varied from 4, 8, 12, 16 and 20 wt.�and the resulting materials are denoted as C1, C2, C3, C4 and C5, respectively. The formation of products with high structural crystallinity was confirmed by X-ray photoelectron spectroscopy, Raman spectroscopy and X-ray diffraction. A morphological study by field emission scanning electron microscopy and high resolution transmission electron microscopy showed the successful integration of Co3O4 nanocubes to the MWCNTs with an average particle size of ∼32 nm. The surface of a glassy carbon electrode (GCE) was modified with the nanocomposites in order to evaluate the electrochemical performance of the nanocomposites. Cyclic voltammetry showed that the C4-modified GCE displays best performance in terms of oxidation potential and peak current in comparison to that of a bare GCE, Co3O4 nanocubes, or GCEs modified with C1, C2, C3 or C5. The detection limit (at an S/N ratio of 3) is 0.176 nM by using chronoamperometry, and the linear range is between 1 and 20 μM. Graphical abstractMWCNT-Co3O4 nanocubes were synthesized by one pot hydrothermal route. The nanocomposite is used for electrochemical detection of dopamine. The limit of detection is found to be 176 nM by chronoamperometry at a constant potential of   0.13 V.
particle size                 0.9382218894226829^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Particle              

detection limit               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Detection_limit       

Co3O4                         0.9992271358231901^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cobalt(II,III)_oxide  

GCE                           0.6259096806290695^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/GCE_Advanced_Level    

electrochemical               0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electrochemistry      

composite                     0.9999999999961346^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Composite_material    

Cyclic voltammetry            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cyclic_voltammetry    

high resolution transmission electron microscopy1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/High-resolution_transmission_electron_microscopy

X-ray diffraction             0.9999999999954525^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/X-ray_crystallography 

morphological                 0.9999993061978918^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Morphology_(biology)  

Co3O4                         0.9992271358231901^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cobalt(II,III)_oxide  

GCE                           0.6259096806290695^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/GCE_Advanced_Level    

hydrothermal                  0.9257946615160395^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Hydrothermal_circulation

oxidation potential           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Reduction_potential   

crystallinity                 0.9774847446396585^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Polymer               

scanning electron microscopy  0.9999999690055579^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Scanning_electron_microscope

chronoamperometry             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chronoamperometry     

carbon nanotubes              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Carbon_nanotube       

electrochemical               0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electrochemistry      

fractions                     0.9718915344611107^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Fractionation         

nanocomposites                0.7466640238189867^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nanocomposite         

C1                            0.9999670368286949^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Smooth_function       

GCE                           0.6259096806290695^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/GCE_Advanced_Level    

electrode                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Electrode             

V.                            0.9999999995225153^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/V.                    

C4                            0.9997156116147808^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/C4_carbon_fixation    

Raman spectroscopy            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Raman_spectroscopy    

peak                          0.8879461301737399^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Peak_oil              

C5                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Carbon                

C2                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Carbon                

linear range                  0.999999992789526^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Linear_range          

GCEs                          0.9999999989481694^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/General_Certificate_of_Education

C3                            0.9666186058233497^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/C3_carbon_fixation    

C4                            0.9997156116147808^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/C4_carbon_fixation    

C5                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Carbon                

glassy carbon                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Glassy_carbon         

dopamine                      0.9999999998121893^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dopamine              

32 nm                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/32_nanometer          

cobalt oxide                  0.9989873744797972^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cobalt(II)_oxide      

Co3O4                         0.9992271358231901^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Cobalt(II,III)_oxide  

nanocomposites                0.7466640238189867^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Nanocomposite         

