Abstract  · Background: Tranilast has been clinically used for various allergic diseases. Recently, it has also been found to inhibit excessive scarring in wound healing processes. In this study, we examined the effects of tranilast on the treatment for experimental proliferative vitreoretinopathy (PVR). · Methods: Cultured rabbit conjunctival fibroblasts were injected intravitreously (50 000 cells/eye) into the rabbit vitreous to induce experimental PVR. Immediately after that, tranilast (0.5–5 mg/ml, 0.1 ml/eye) was injected into the vitreous. Injection of vehicle solution was used as a negative control. PVR was clinically evaluated by masked observers using ophthalmoscopy and graded into six stages: 0 (no PVR) to 5 (severe PVR). The amount of transforming growth factor β1 (TGF-β1) in the vitreous was measured by ELISA method. Functional and morphological changes induced by 5 mg/ml tranilast were sought by electroretinography, light microscopy, and electron microscopy on day 28. · Results: The average stage of PVR in the eyes treated with tranilast (1 or 5 mg/ml) was significantly lower than that in the control group on days 14 and 28. There was no difference between the eyes treated with low-dose tranilast (0.5 mg/ml) and the control group. The amount of TGF-β1 in the vitreous of tranilast-treated eyes was significantly lower than in the control group. The morphological and functional studies did not show any deleterious effect of tranilast on the retinal function and morphology. · Conclusion: Tranilast effectively inhibits the progression of PVR without showing apparent toxicity of the eye. This agent has therapeutic value for PVR.
Tranilast                     0.9999999991050572^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tranilast             

tranilast                     0.9999999991050572^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tranilast             

tranilast                     0.9999999991050572^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tranilast             

tranilast                     0.9999999991050572^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Tranilast             

rabbit                        0.9999999939664121^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Rabbit                

control group                 0.9855576020211215^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Treatment_and_control_groups

ELISA                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/ELISA                 

PVR                           0.999961139159262^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Digital_video_recorder

PVR                           0.999961139159262^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Digital_video_recorder

control group                 0.9855576020211215^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Treatment_and_control_groups

control group                 0.9855576020211215^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Treatment_and_control_groups

negative control              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Scientific_control    

wound healing                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Wound_healing         

