Abstract 1,3-Dimethylimidazolium dimethylphosphate ([C1mim][DMP]) was observed experimentally to be able to eliminate the atmospheric azeotropic point of acetone and methanol, which is an important azeotrope generally encountered in furfural production and the Fischer-Tropsch process. Here, we employed ab initio calculation to understand the underlying mechanism of [C1mim][DMP] in eliminating the azeotropic point of acetone and methanol. Structure, energy and interaction in binary-, ternary- and quaternary-clusters composed of methanol, acetone, [C1mim]  or/and [DMP]‾ were calculated. The σ-hole, AIM and NBO analyses were performed to understand intermolecular interaction with electron density, electron occupancy, charge transfer and molecular orbital interaction. Hydrogen bond interaction plays a key role in azeotropic point elimination; due to the much stronger hydrogen bond interaction between methanol and [C1mim][DMP] than that between acetone and [C1mim][DMP], [C1mim][DMP] prefers to interact with methanol rather than acetone, and the original interaction between methanol and acetone is separated by [C1mim][DMP]. The hydrogen bond is from the orbital interaction between O lone-pair-electron orbitals of the hydrogen bond acceptor and σ * (C-H) or σ * (O–H) anti-bonding orbitals of the hydrogen bond donor, where remarkable electron or charge transfer occurs. These theoretical calculation results are in agreement with the experimental observation that [C1mim][DMP] eliminates the azeotropic point of methanol and acetone. This work shows that ab initio calculation may be employed to rationalize the design or synthesis of ionic liquids for separating azeotropes. Graphical AbstractElimination of azeotropic point of acetone and methanol by [C1mim][DMP]
azeotropic                    0.9999789469693922^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Azeotrope             

acetone                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Acetone               

azeotropic                    0.9999789469693922^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Azeotrope             

methanol                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Methanol              

methanol                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Methanol              

acetone                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Acetone               

interact                      0.9999990900671084^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Interaction           

Fischer-Tropsch process       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fischer–Tropsch_process

DMP                           0.9677841108204002^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dublin_Metropolitan_Police

methanol                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Methanol              

Hydrogen bond                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen_bond         

azeotropic                    0.9999789469693922^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Azeotrope             

hydrogen bond                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Hydrogen_bond         

ternary                       0.7332691289113556^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ternary_numeral_system

ab initio                     0.8237528837181938^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ab_initio_quantum_chemistry_methods

DMP                           0.9677841108204002^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Dublin_Metropolitan_Police

