Abstract Epilithic algal communities play critical ecological roles on coral reefs, but their response to individual and interactive effects of ocean warming (OW) and ocean acidification (OA) is still largely unknown. We investigated growth, photosynthesis and calcification of early epilithic algal community assemblages exposed for 6 months to four temperature profiles (−1.1, ±0.0,  0.9,  1.6 °C) that were crossed with four carbon dioxide partial pressure (pCO2) levels (360, 440, 650, 940 µatm), under flow-through conditions and natural light regimes. Additionally, we compared the cover of heavily calcified crustose coralline algae (CCA) and lightly calcified red algae of the genus Peyssonnelia among treatments. Increase in cover of epilithic communities showed optima under moderately elevated temperatures and present pCO2, while cover strongly decreased under high temperatures and high-pCO2 conditions, particularly due to decreasing cover of CCA. Similarly, community calcification rates were strongly decreased at high pCO2 under both measured temperatures. While final cover of CCA decreased under high temperature and pCO2 (additive negative effects), cover of Peyssonnelia spp. increased at high compared to annual average and moderately elevated temperatures. Thus, cover of Peyssonnelia spp. increased in treatment combinations with less CCA, which was supported by a significant negative correlation between organism groups. The different susceptibility to stressors most likely derived from a different calcification intensity and/or mineral. Notably, growth of the epilithic communities and final cover of CCA were strongly decreased under reduced-pCO2 conditions compared to the present. Thus, CCA may have acclimatized from past to present-day pCO2 conditions, and changes in carbonate chemistry, regardless in which direction, negatively affect them. However, if epilithic organisms cannot further acclimatize to OW and OA, the interacting effects of both factors may change epilithic communities in the future, thereby likely leading to reduced reef stability and recovery.
carbonate                     0.9953933134758758^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Calcium_carbonate     

mineral                       0.9999999988344825^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mineral               

carbon dioxide                0.9999999994167865^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Carbon_dioxide        

organisms                     0.9999951149048861^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Organism              

CCA                           0.9999768872298175^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chromated_copper_arsenate

calcification                 0.9999997831562504^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Calcification         

CCA                           0.9999768872298175^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chromated_copper_arsenate

OA                            0.9999999999824922^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Osteoarthritis        

partial pressure              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Partial_pressure      

acclimatized                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Acclimatization       

correlation                   0.9999287270955366^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Correlation_and_dependence

stressors                     0.9493626496612316^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Stressor              

pCO2                          0.999999870823339^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Carbon_dioxide        

CCA                           0.9999768872298175^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chromated_copper_arsenate

pCO2                          0.999999870823339^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Carbon_dioxide        

coralline algae               0.9999998680191398^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Algae                 

light                         0.9999816254415812^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sunlight              

calcified                     0.999998553386286^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Calcification         

