Abstract Five plant leaf extracts (Pine, Persimmon, Ginkgo, Magnolia and Platanus) were used and compared for their extracellular synthesis of metallic silver nanoparticles. Stable silver nanoparticles were formed by treating aqueous solution of AgNO3 with the plant leaf extracts as reducing agent of Ag  to Ag0. UV-visible spectroscopy was used to monitor the quantitative formation of silver nanoparticles. Magnolia leaf broth was the best reducing agent in terms of synthesis rate and conversion to silver nanoparticles. Only 11 min was required for more than 90�onversion at the reaction temperature of 95 °C using Magnolia leaf broth. The synthesized silver nanoparticles were characterized with inductively coupled plasma spectrometry (ICP), energy dispersive X-ray spectroscopy (EDS), scanning electron microscopy (SEM), transmission electron microscopy (TEM), and particle analyzer. The average particle size ranged from 15 to 500 nm. The particle size could be controlled by changing the reaction temperature, leaf broth concentration and AgNO3 concentration. This environmentally friendly method of biological silver nanoparticles production provides rates of synthesis faster or comparable to those of chemical methods and can potentially be used in various human contacting areas such as cosmetics, foods and medical applications.
EDS                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Energy-dispersive_X-ray_spectroscopy

aqueous solution              0.9999661731520295^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Aqueous_solution      

silver nanoparticles          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Silver_nanoparticles  

nm                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanometre             

silver nanoparticles          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Silver_nanoparticles  

transmission electron microscopy1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Transmission_electron_microscopy

SEM                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Scanning_electron_microscope

plant                         0.9270628791461585^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Plant                 

quantitative                  0.9904394989750805^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quantitative_analysis_(chemistry)

silver nanoparticles          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Silver_nanoparticles  

synthesized                   0.9988630266810169^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_synthesis    

ICP                           0.9999996221842625^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Inductively_coupled_plasma_mass_spectrometry

reducing agent                0.9870065425435385^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Redox                 

concentration                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Concentration         

broth                         0.9922389339673239^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Broth                 

AgNO3                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Silver_nitrate        

silver nanoparticles          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Silver_nanoparticles  

Magnolia                      0.9999999943561306^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Magnolia              

broth                         0.9922389339673239^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Broth                 

environmentally friendly      0.9999998851481061^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Green_chemistry       

Ginkgo                        0.9998882426105452^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ginkgo_biloba         

energy dispersive X-ray spectroscopy1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Energy-dispersive_X-ray_spectroscopy

temperature                   0.999999838220005^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Temperature           

extracellular                 0.9802995906943893^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Extracellular_matrix  

temperature                   0.999999838220005^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Temperature           

broth                         0.9922389339675496^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Broth                 

Magnolia                      0.9999999943561306^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Magnolia              

Platanus                      0.9999999999997726^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Platanus              

leaf                          0.999957403402317^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Leaf                  

particle                      0.9975605045898057^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Particle              

leaf                          0.999957403402317^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Leaf                  

chemical                      0.9526632418286739^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_compound     

reducing agent                0.9870065425435385^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Redox                 

leaf                          0.999957403402317^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Leaf                  

Magnolia                      0.9999999943561306^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Magnolia              

cosmetics                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cosmetics             

scanning electron microscopy  0.9999999987147703^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Scanning_electron_microscope

spectrometry                  0.9979151724230072^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mass_spectrometry     

