Summary Mesozoic melilite-bearing ultramafic lamprophyres are developed as sill, dyke and plug-like intrusive bodies in the East Antarctic Beaver Lake area. They consist of varying amounts of olivine, melilite, phlogopite, nepheline, titanomagnetite and perovskite as major phases, accompanied by minor amounts of apatite, carbonate, spinel, glass and, rarely, monticellite. The rocks are mineralogically and geochemically broadly similar to olivine melilitites, differing in higher CO2 and modal phlogopite and carbonate contents. The ultramafic lamprophyres are MgO-rich (13.4–20.5 wt�and SiO2-poor (32.8–37.2 wt� indicative of a near-primary nature. Major and trace element features are consistent with minor fractionation of olivine and Cr-spinel from melts originating at depths of 130–140 km. Primary melts originated by melting of upper mantle peridotite which had been veined by phlogopite   carbonate   clinopyroxene-bearing assemblages less than 200 Ma before eruption. The presence of the veins and their time of formation is required to explain high incompatible trace element contents and growth of 87Sr/86Sr, leaving 143Nd/144Nd unaffected. The major element, compatible trace element, and most radiogenic isotope characteristics are derived from melting of the wall-rock peridotite. The depth of about 130 km is indicated by the presence of phlogopite rather than amphibole in the veins, by control of the REE pattern by residual garnet, by the high MgO content of the rocks, and by the expected intersection of the rift-flank geotherm with the solidus at this depth. The higher CO2 contents than are characteristic for olivine melilitites favoured the crystallization of melilite at crustal pressures, and suppressed the crystallization of clinopyroxene. The Beaver Lake ultramafic lamprophyres are a distal effect of the breakup of Gondwanaland, too distal to show a geochemical signature of the Kerguelen plume. Upward and outward movement of the asthenosphere-lithosphere boundary beneath the Lambert-Amery rift led first to the production of phlogopite- and carbonate-rich veins, and later to the generation of the ultramafic lamprophyres themselves.
Kerguelen                     0.9999258635741376^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Kerguelen_Islands     

Ma                            0.7426987381259351^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Myr                   

Beaver Lake                   0.9884236088952513^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Beaver_Lake_(Arkansas)

The Beaver                    0.5445605547430964^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Theodore_Cleaver      

melilite                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Melilite              

indicative                    0.9674958964226317^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Realis_mood           

ultramafic                    0.9999612617689424^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mafic                 

crystallization               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fractional_crystallization_(geology)

CO2                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Carbon_dioxide        

solidus                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Solidus_(chemistry)   

veins                         0.9999999999972715^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Vein_(geology)        

lamprophyres                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lamprophyre           

carbonate                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Carbonate             

sill                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Sill_(geology)        

lamprophyres                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lamprophyre           

ultramafic                    0.9999612617689424^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mafic                 

melilite                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Melilite              

clinopyroxene                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Pyroxene              

MgO                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Magnesium_oxide       

assemblages                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fossil                

geochemical                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Geochemistry          

isotope                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Isotope               

olivine                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Olivine               

spinel                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Spinel                

eruption                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Volcano               

lamprophyres                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lamprophyre           

Beaver Lake                   0.9884236088952513^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Beaver_Lake_(Arkansas)

lamprophyres                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Lamprophyre           

geochemically                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Geochemistry          

ultramafic                    0.9999612617689424^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mafic                 

REE                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Rare_earth_element    

distal                        0.9999999955425665^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Anatomical_terms_of_location

rift                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Rift                  

phlogopite                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phlogopite            

peridotite                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Peridotite            

amphibole                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Amphibole             

SiO2                          0.9956375506921903^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Silicate              

glass                         0.9059511232398615^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Glass                 

apatite                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Apatite               

phlogopite                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phlogopite            

phlogopite                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Phlogopite            

olivine                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Olivine               

radiogenic                    0.9999999999979536^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Radioactive_decay     

nepheline                     1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nepheline             

trace element                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Trace_element         

olivine                       1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Olivine               

distal                        0.9999999955425665^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Anatomical_terms_of_location

87Sr                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Isotopes_of_strontium 

trace element                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Trace_element         

