Abstract BackgroundThe “Status Epilepticus Severity Score” (STESS) is the most important clinical score to predict in-hospital mortality of patients with status epilepticus (SE), but its prognostic relevance for long-term survival is unknown. This study therefore examined if STESS and its components retain their prognostic relevance beyond acute treatment. MethodsOne hundred twenty-five non-anoxic patients with SE were retrospectively identified in two hospitals between 2008 and 2014 (39.2 % refractory SE). Patients’ treatment, demographic data, date of death, aetiology of SE, and the components of the STESS (age, history of seizures, level of consciousness and worst seizure type) were determined based on the patients’ records. ResultsIn 94.4 % of patients, SE was treated successfully; in-hospital mortality rate was 12 %. The overall mortality was 42 % after median follow-up of 28.1 months. The survival plateaued after about 3 years, all patients with progressive brain diseases (n = 4) died within one year. In-hospital mortality correlated highly significantly with STESS, the optimal cut-off was 4. With respect to long-term outcome, STESS correlated significantly with overall mortality though with lower odds ratios. When looking only at patients that survived the acute phase of treatment, only the STESS components “level of consciousness” (at admission), “coma” as worst seizure type, and “age” reached a statistical significant association with mortality. In these patients, STESS with a cut-off of 4 was not significantly associated with survival/mortality. Aetiology of SE was insufficient to explain the weak association and the high mortality after discharge alone. ConclusionSTESS at onset of SE reliably assessed in-hospital mortality, and was indicative for overall survival. However, STESS did not allow correct estimation of mortality after discharge. The high mortality after discharge and high overall mortality of patients diagnosed with SE was not explained by progressive brain disorders alone. Further research is needed to understand the causes for high overall mortality after SE and putative prognostic factors.
coma                0.9999999993378879^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Coma                  
brain diseases                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Brain                 

acute                         0.9999999963679329^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Acute_(medicine)      

mortality                     0.9999999999920419^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mortality_rate        

prognostic                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Prognosis             

mortality rate                1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Mortality_rate        

mortality                     0.9999999999920419^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mortality_rate        

discharge                     0.7286057259196992^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mucopurulent_discharge

SE                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Standard_error        

seizure type                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Seizure_types         

mortality                     0.9999999999920419^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Mortality_rate        

refractory                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Disease               

progressive                   0.7982362953147923^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Progressivism         

seizures                      0.9983434292144663^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Epileptic_seizure     

seizure type                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Seizure_types         

SE                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Standard_error        

SE                            1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Standard_error        

