Abstract Aims/hypothesisDiabetic retinopathy is characterised by morphological lesions related to disturbances in retinal blood flow. It has previously been shown that the early development of retinal lesions temporal to the fovea may predict the development of treatment-requiring diabetic maculopathy. The aim of this study was to map accurately the area where lesions could predict progression to vision-threatening retinopathy. MethodsThe predictive value of the location of the earliest red lesions representing haemorrhages and/or microaneurysms was studied by comparing their occurrence in a group of individuals later developing vision-threatening diabetic retinopathy with that in a group matched with respect to diabetes type, age, sex and age of onset of diabetes mellitus who did not develop vision-threatening diabetic retinopathy during a similar observation period. ResultsThe probability of progression to vision-threatening diabetic retinopathy was higher in a circular area temporal to the fovea, and the occurrence of the first lesions in this area was predictive of the development of vision-threatening diabetic retinopathy. The calculated peak value showed that the risk of progression was 39.5% higher than the average. There was no significant difference in the early distribution of lesions in participants later developing diabetic maculopathy or proliferative diabetic retinopathy. Conclusions/interpretationThe location of early red lesions in diabetic retinopathy is predictive of whether or not individuals will later develop vision-threatening diabetic retinopathy. This evidence should be incorporated into risk models used to recommend control intervals in screening programmes for diabetic retinopathy.
intervals           0.9995685668905984^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Time                  
fovea                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fovea_centralis       

probability                   0.9997005466027372^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Probability           

peak                          0.7427478158811874^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Peak_oil              

diabetic                      0.9999999999827196^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Diabetes_mellitus     

blood flow                    0.456671186198159^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Medical_ultrasonography

sex                           0.8028137951752016^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sex                   

fovea                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fovea_centralis       

lesions                       0.9999994700283691^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Lesion                

risk models                   0.9999999999798774^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Financial_risk_modeling

red                           0.9999839233256271^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Red_blood_cell        

retinopathy                   0.9995510857167363^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Diabetic_retinopathy  

diabetic                      0.9999999999827196^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Diabetes_mellitus     

temporal                      0.9120145519416825^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Temporal_lobe         

diabetic retinopathy          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diabetic_retinopathy  

lesions                       0.9999994700283691^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Lesion                

diabetic retinopathy          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diabetic_retinopathy  

lesions                       0.9999994700283691^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Lesion                

haemorrhages                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Bleeding              

diabetic retinopathy          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diabetic_retinopathy  

red                           0.9999839233256271^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Red_blood_cell        

lesions                       0.9999994700283691^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Lesion                

morphological                 0.8987539921491504^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Histopathology        

retinopathy                   0.9995510857167363^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Diabetic_retinopathy  

diabetes mellitus             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diabetes_mellitus     

screening                     0.9577485421411807^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Screening_(medicine)  

temporal                      0.9120145519416825^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Temporal_lobe         

diabetic retinopathy          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Diabetic_retinopathy  

maculopathy                   0.9999999999980673^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Maculopathy           

