An objective assessment and comparison of computed radiography (CR) versus digital radiography (DR) and screen-film for performing upright chest examinations on outpatients is presented in terms of workflow, productivity, speed of service, and potential cost justification. Perceived ease of use and workflow of each device is collected via a technologist opinion survey. Productivity is measured as the rate of patient throughput from normalized timing studies. The overall speed of service is calculated from the time of examination ordering as stamped in the radiology information system (RIS), to the time of image availability on the picture archiving and communication system (PACS), to the time of interpretation rendered (from the RIS). A cost comparison is discussed in terms of potential productivity gains and device expenditures. Comparative results of a screen-film (analog) dedicated chest unit versus a CR reader and a DR dedicated chest unit show a higher patient throughput for the digital systems. A mean of 8.2 patients were moved through the analog chest room per hour, versus 9.2 patients per hour using the CR system and 10.7 patients per hour with the DR system. This represents a 12�ncrease in patient throughput for CR over screen-film; a 30�ncrease in patient throughput for DR over screen-film, which is statistically significant; and a 16�ncrease in patient throughput for DR over CR, which is not statistically significant. Measured time to image availability for interpretation is much faster for both CR and DR versus screen-film, with the mean minutes to image availability calculated as 29.2 ± 14.3 min for screen-film, 6.7 ± 1.5 min for CR, and 5.7 ± 2.5 min for DR. This represents an improved time to image availability of 77�or CR over screen-film, 80�or DR over screen-film, and 15�or DR over CR. These results are statistically significant (P <.0001) for both CR over screen-film and DR over screen-film but not statistically significant for DR over CR. A comparison of the digital technology costs illustrates that the high cost of DR may not be justifiable unless a facility has a steady high patient volume to run the device at or near 100�roductivity. Both CR and DR can improve workflow and productivity over analog screen-film in a PACS for delivery of projection radiography services in an outpatient environment. Cost justification for DR over CR appears to be tied predominantly to high patient volume and continuous rather than sporadic use patterns.
normalized          0.5506441528159269^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Standard_score        
CR.                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Councillor            

throughput                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Throughput            

computed radiography          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Computed_radiography  

radiography                   0.9952042383758657^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Radiography           

PACS                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Picture_archiving_and_communication_system

CR                            0.9987389412071688^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Calorie_restriction   

throughput                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Throughput            

outpatient                    0.9999625997134057^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Patient               

throughput                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Throughput            

digital technology            0.9781831584256782^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Digital_signal        

digital                       0.9999482794793533^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Digital_signal        

CR                            0.9987389412071688^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Calorie_restriction   

communication                 0.9858259744024713^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Communication         

RIS                           0.9999999999834017^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Radiology_information_system

analog                        0.9306716937027064^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Analog_signal         

throughput                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Throughput            

CR                            0.9987389412071688^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Calorie_restriction   

