Abstract We describe a simple method for the synthesis of highly magnetic and fluorescent bifunctional chitosan nanoparticles (MF-CSNPs). Water-soluble and magnetic Fe3O4-chitosan nanoparticles and CdSe quantum dots capped with thioglycolic acid were incorporated into a chitosan matrix via electrostatic interaction. The optical, magnetic, crystallographic and morphological properties of the new nanoparticles were studied by UV-visible, fluorescence, X-ray diffraction and transmission electron microscopy. In addition, MF-CSNPs are found to be a useful probe for the determination of copper ion which acts as a quencher of fluorescence. The relative fluorescence intensity of MF-CSNPs is linearly related to the concentration of copper ion in the 0.125 to 25 ng·mL-1 concentration range. The MF-CSNPs also are found to adsorb copper ion which therefore can be separated and enriched by manipulating them with an external magnetic field. Before enrichment, the limit of detection (LOD) for copper ion is 120 pg·mL-1, but after enrichment, the LOD is 46 pg·mL-1. FigureHigh magnetic and fluorescent bifunctional chitosan nanoparticles (MF-CSNPs) have been successfully synthesized via electrostatic interaction. MF-CSNPs are shown to represent a quenchable fluorescent probe for the detection of copper ion in water solution.
water               0.9988398027705783^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Water                 
concentration                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Concentration         

fluorescence                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fluorescence          

fluorescent                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fluorescence          

Fe3O4                         1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Iron(II,III)_oxide    

quencher                      0.9999999999968168^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Quenching_(fluorescence)

copper                        0.9999999987636556^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Copper                

crystallographic              0.9997706650354465^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/X-ray_crystallography 

copper                        0.9999999987636556^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Copper                

LOD                           0.9999992169910793^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Genetic_linkage       

copper                        0.9999999987636556^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Copper                

fluorescent                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fluorescence          

fluorescence                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fluorescence          

synthesized                   0.7372232159839879^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Oligonucleotide_synthesis

mL-1                          0.9999999999866986^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/ML-1                  

copper                        0.9999999987636556^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Copper                

magnetic                      0.9680844418225597^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ferromagnetism        

quantum dots                  1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Quantum_dot           

ion                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

thioglycolic acid             1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Thioglycolic_acid     

ion                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

magnetic                      0.9680844418225597^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ferromagnetism        

matrix                        0.9999917477829859^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Matrix_(mathematics)  

ion                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

copper                        0.9999999987636556^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Copper                

nanoparticles                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanoparticle          

morphological                 0.7394092331516996^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Shape                 

electrostatic interaction     0.9668539258657686^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Coulomb's_law         

fluorescent                   1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Fluorescence          

X-ray diffraction             0.999675331872911^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/X-ray_crystallography 

magnetic field                0.9998075524444201^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Magnetic_field        

magnetic                      0.9680844418225597^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Ferromagnetism        

optical                       0.702051569224156^^http://www.w3.org/2001/XMLSchema#double            http://dbpedia.org/resource/Optics                

nanoparticles                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanoparticle          

chitosan                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chitosan              

ion                           1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Ion                   

mL-1                          0.9999999999866986^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/ML-1                  

adsorb                        1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Adsorption            

mL-1                          0.9999999999866986^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/ML-1                  

nanoparticles                 1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Nanoparticle          

chitosan                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chitosan              

CdSe                          1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cadmium_selenide      

chitosan                      1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Chitosan              

