Abstract Photonic crystal nanocavities, which can be used to localize electromagnetic fields in a low refractive index region, hold great promise in fabricating micromechanical sensors for their potential applications in physical, chemical and biological engineering. In this paper, effects of optical and material properties on the performance of three different types of photonic crystal based mechanical sensors, i.e., force, displacement, and strain sensors, are investigated. The microcantilevers of sensors are made in Si and Si/SiO2 and exhibited in air and water atmosphere. As we found, both the resonant wavelength and the resonant wavelength shift for microcantilever mechanical sensors exhibit a linear relationship to the signal detection parameters (i.e., force, displacement, and strain) both in air and water. The sensitivity of force and strain sensors operated in water is higher than that in air. Si/SiO2 bilayer microcantilever sensor shows a higher sensitivity in force detection, whereas the Si cantilever sensor shows a higher sensitivity in strain and vertical displacement detection. The optical, material and mechanical properties of sensor material have great effect on the sensitivity of the new photonic crystal based microcantilever mechanical sensor.
biological engineering1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Biological_engineering

bilayer                       0.9999999940152975^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Lipid_bilayer         
force                         0.9999958845360755^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Force                 

sensors                       0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensor                

wavelength                    0.9974486969517059^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wavelength            

water                         0.9200684854431244^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Water                 

sensitivity                   0.9825066547371752^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensitivity_(electronics)

sensors                       0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensor                

sensors                       0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensor                

Photonic crystal              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Photonic_crystal      

atmosphere                    0.7954670187816865^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Atmosphere_of_Earth   

force                         0.9999958845360755^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Force                 

force                         0.9999958845360755^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Force                 

strain                        0.9999999999980673^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Deformation_(mechanics)

sensors                       0.9999999999995453^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensor                

micromechanical               1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Microelectromechanical_systems

electromagnetic fields        0.9999999976633944^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Electromagnetic_field 

water                         0.9200684854431244^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Water                 

SiO2                          0.9999848471592077^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Silicon_dioxide       

strain                        0.9999999999980673^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Deformation_(mechanics)

chemical                      0.8095834161890877^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Chemical_substance    

sensitivity                   0.9825066547371752^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensitivity_(electronics)

force                         0.9999958845360755^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Force                 

SiO2                          0.9999848471592077^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Silicon_dioxide       

sensitivity                   0.9825066547371752^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensitivity_(electronics)

cantilever                    1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Cantilever            

wavelength                    0.9974486969517059^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Wavelength            

signal detection              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Detection_theory      

resonant                      0.9999995917422363^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Resonance             

sensor                        0.9999999999993179^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Sensor                

photonic crystal              1.0^^http://www.w3.org/2001/XMLSchema#double                          http://dbpedia.org/resource/Photonic_crystal      

displacement                  0.9999999865002566^^http://www.w3.org/2001/XMLSchema#double           http://dbpedia.org/resource/Displacement_(vector) 

